system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|transaktion_id|utbetalningsgrupp_id|utbetalningsgrupp_namn|lonekorningsnummer|personalkategori|loneart_kod|loneart_namn|datumstart|datumslut|omfattning_procent|antal|enhet|apris|belopp_sek|transaktionsrad_text
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|56000|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-19163|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|3|1|Månadsutbetalning|2020-06|MÅN|926|TPA18 >7,5 Ibb|||0|0||0|14250|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|4|1|Månadsutbetalning|2020-06|MÅN|927|Avdrag TPA18 >7,5 Ibb|||0|0||0|-14250|
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|1|1|Månadsutbetalning|2020-06|TIM|10|Timlön|2020-05-01T00:00|2020-05-31T00:00|0|125|tim|140|17500|
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2|1|Månadsutbetalning|2020-06|TIM|60|Arbetsdagar timanställd|||0|0|dgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|3|1|Månadsutbetalning|2020-06|TIM|550|Semesterersättning|2020-05-01T00:00|2020-05-31T00:00|0|125||18.144|2268|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|80|0||0|28800|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2|1|Månadsutbetalning|2020-06|MÅN|30|80/90/100 modell, debet|2020-06-01T00:00|2020-06-30T00:00|0|0||0|3200|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|3|1|Månadsutbetalning|2020-06|MÅN|31|80/90/100 modell, kredit|2020-06-01T00:00|2020-06-30T00:00|0|0||0|-3200|
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|4|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-7214|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|30|0||0|7500|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2|1|Månadsutbetalning|2020-06|MÅN|547|Semers vid < 40%|2020-06-01T00:00|2020-06-30T00:00|0|0||0|972|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|3|1|Månadsutbetalning|2020-06|MÅN|570|Semesteravdr under 40 %|2020-06-01T00:00|2020-06-30T00:00|0|0|kdgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|4|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-2541|
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|75|0||0|24750|
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-5983|
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|29500|
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2|1|Månadsutbetalning|2020-06|MÅN|615|Fp-tillägg 10% 180 dgr|2020-06-01T00:00|2020-06-30T00:00|0|0|kdgr|95.1612903225806|0|
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|3|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-7460|
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|24000|
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-5736|
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2|1|Månadsutbetalning|2020-06|MÅN|110|Lönetillägg|2020-06-01T00:00|2020-06-30T00:00|0|0||0|5000|
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|3|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-11004|
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|0|
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2|1|Månadsutbetalning|2020-06|MÅN|924|Nettolöneavdrag|2020-06-01T00:00|2020-06-30T00:00|0|0||0|-150|
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|3|1|Månadsutbetalning|2020-06|MÅN|997|Nettoskuld till n lön|||0|0||0|150|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|45000|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|2|1|Månadsutbetalning|2020-06|MÅN|696|Pension, löneväxling|2020-06-01T00:00|2020-06-30T00:00|0|0||0|-3000|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|3|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-11704|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|4|1|Månadsutbetalning|2020-06|MÅN|926|TPA18 >7,5 Ibb|||0|0||0|3250|
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|5|1|Månadsutbetalning|2020-06|MÅN|927|Avdrag TPA18 >7,5 Ibb|||0|0||0|-3250|
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|30000|
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-7583|
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|1|1|Månadsutbetalning|2020-06|MÅN|70|Månadslön|2020-06-01T00:00|2020-06-30T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|            |311|1|1|Månadsutbetalning|2020-06|UPPDR|85|Arvode A-Sink socavg|2020-06-01T00:00|2020-06-30T00:00|0|0||0|0|
Flex Lön|1973|2022|123456-7890|923|            |311|2|1|Månadsutbetalning|2020-06|UPPDR|917|Skatt A-Sink|||0|0||0|0|
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|1|1|Månadsutbetalning|2020-06|MÅN|80|Uppehållslön|2020-06-01T00:00|2020-06-30T00:00|0|0||0|23400|Sommar
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|2|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-5552|
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|1|1|Månadsutbetalning|2020-06|MÅN|100|Avgångsvederlag|2020-06-01T00:00|2020-06-30T00:00|0|1||15000|15000|Avgångsvederlag
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|2|1|Månadsutbetalning|2020-06|MÅN|103|Pens.gr avgångsvederlag|2020-06-01T00:00|2020-06-30T00:00|0|1||2000|2000|Avångsvederlag, Pens.gr
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|3|1|Månadsutbetalning|2020-06|MÅN|912|Skatt|||0|0||0|-3581|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-20404|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|32|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|58|20.3|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|33|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.65|tim|58|37.7|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|34|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|7.65|tim|115.9|886.64|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|35|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|115.9|40.57|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|36|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|37|1|Månadsutbetalning|2020-07|MÅN|998|Öresutjämning|||0|0||0|-0.25|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|45|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|58|20.3|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|46|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.65|tim|58|37.7|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|47|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|7.65|tim|115.9|886.64|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|48|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|115.9|40.57|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|49|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|107|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|55300|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|108|1|Månadsutbetalning|2020-07|MÅN|501|Semester betald|2020-06-15T00:00|2020-06-21T00:00|0|5|dgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|109|1|Månadsutbetalning|2020-07|MÅN|926|TPA18 >7,5 Ibb|||0|0||0|17193.25|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|110|1|Månadsutbetalning|2020-07|MÅN|927|Avdrag TPA18 >7,5 Ibb|||0|0||0|-17193.25|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|111|1|Månadsutbetalning|2020-07|MÅN|510|Semesterlön|2020-06-15T00:00|2020-06-21T00:00|0|5|dgr|2543.8|12719|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|112|1|Månadsutbetalning|2020-07|MÅN|511|Semesteravdrag|2020-06-15T00:00|2020-06-21T00:00|0|5|dgr|-2543.8|-12719|
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|113|1|Månadsutbetalning|2020-07|MÅN|522|Semestertillägg 0,605%|2020-06-15T00:00|2020-06-21T00:00|0|5|dgr|334.565|1672.83|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-02-01T00:00|2020-02-29T00:00|100|0||0|22000|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-5182|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|7|1|Månadsutbetalning|2020-07|MÅN|998|Öresutjämning|||0|0||0|0.43|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|8|1|Månadsutbetalning|2020-07|MÅN|501|Semester betald|2020-01-15T00:00|2020-01-15T00:00|0|1|dgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|9|1|Månadsutbetalning|2020-07|MÅN|510|Semesterlön|2020-01-15T00:00|2020-01-15T00:00|0|1|dgr|966|966|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|10|1|Månadsutbetalning|2020-07|MÅN|511|Semesteravdrag|2020-01-15T00:00|2020-01-15T00:00|0|1|dgr|-966|-966|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|11|1|Månadsutbetalning|2020-07|MÅN|522|Semestertillägg 0,605%|2020-01-15T00:00|2020-01-15T00:00|0|1|dgr|127.05|127.05|
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|12|1|Månadsutbetalning|2020-07|MÅN|523|Semesterlönetillägg|||0|1|dgr|-45.4833|-45.48|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|29000|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-7891|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|3|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.65|tim|58|37.7|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|4|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|58|20.3|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|5|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|7.65|tim|115.9|886.64|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|6|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|115.9|40.57|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|7|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|8|1|Månadsutbetalning|2020-07|MÅN|998|Öresutjämning|||0|0||0|-0.42|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|14|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.65|tim|58|37.7|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|15|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|58|20.3|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|16|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|7.65|tim|115.9|886.64|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|17|1|Månadsutbetalning|2020-07|MÅN|233|OB-tillägg A,storhelg|2020-06-01T00:00|2020-06-30T00:00|0|0.35|tim|115.9|40.57|
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|18|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|41000|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-10234|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|3|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|5|1|Månadsutbetalning|2020-07|MÅN|501|Semester betald|2020-06-01T00:00|2020-06-01T00:00|0|2|dgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|6|1|Månadsutbetalning|2020-07|MÅN|510|Semesterlön|2020-06-01T00:00|2020-06-01T00:00|0|2|dgr|1886|3772|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|7|1|Månadsutbetalning|2020-07|MÅN|511|Semesteravdrag|2020-06-01T00:00|2020-06-01T00:00|0|2|dgr|-1886|-3772|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|8|1|Månadsutbetalning|2020-07|MÅN|522|Semestertillägg 0,605%|2020-06-01T00:00|2020-06-01T00:00|0|2|dgr|248.05|496.1|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|12|1|Månadsutbetalning|2020-07|MÅN|502|Semester obetald|2020-06-03T00:00|2020-06-03T00:00|0|2|dgr|0|0|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|13|1|Månadsutbetalning|2020-07|MÅN|504|Obetalt semesteravdrag|2020-06-03T00:00|2020-06-03T00:00|0|1|dgr|-3826.66666666667|-3826.67|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|14|1|Månadsutbetalning|2020-07|MÅN|998|Öresutjämning|||0|0||0|-0.43|
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|19|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168.3|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-7337|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|3|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|4|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|7|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|8|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|12|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|29000|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-9324|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|3|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|4|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|7|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|8|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|26000|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-6414|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|3|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|4|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|7|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|8|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|32500|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-8414|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|3|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|5|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|35000|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-9324|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|3|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|4|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|7|1|Månadsutbetalning|2020-07|MÅN|232|OB-tillägg B, helg|2020-06-01T00:00|2020-06-30T00:00|0|1|tim|58|58|
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|8|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|1|1|Månadsutbetalning|2020-07|MÅN|70|Månadslön|2020-07-01T00:00|2020-07-31T00:00|100|0||0|56000|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2|1|Månadsutbetalning|2020-07|MÅN|912|Skatt|||0|0||0|-19163|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|3|1|Månadsutbetalning|2020-07|MÅN|926|TPA18 >7,5 Ibb|||0|0||0|14250|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|4|1|Månadsutbetalning|2020-07|MÅN|927|Avdrag TPA18 >7,5 Ibb|||0|0||0|-14250|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|5|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|9|1|Månadsutbetalning|2020-07|MÅN|74|Periodens närvarotid|2020-06-01T00:00|2020-06-30T00:00|100|168|tim|0|0|
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|1|1|Månadsutbetalning|2020-07|TIM|10|Timlön|2020-06-01T00:00|2020-06-30T00:00|0|40|tim|140|5600|
