system|artal_start|artal_slut|organisationsnummer|foretagsnummer|personnummer|anstallningsnummer|lonekorningsnummer|utbetalningsgrupp_id|utbetalningsgrupp_namn|utbetalningsdatum|fornamn|efternamn|lonespec
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_301_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_302_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Doris|fr Deltid|lonespecifikationer\123456-7890_196308140604_303_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Frida|Föräldraledig|lonespecifikationer\123456-7890_199506083105_304_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Daniel|Dubbel Frånvaro|lonespecifikationer\123456-7890_200108150657_305_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Lena|Lönetillägg|lonespecifikationer\123456-7890_200405060641_306_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Nettan|Nettolöneavdrag|lonespecifikationer\123456-7890_200611250606_307_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Lennart|Löneväxling|lonespecifikationer\123456-7890_196912080618_308_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Sune|Semesterväxling|lonespecifikationer\123456-7890_197208173174_309_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Sabine|Sinkare|lonespecifikationer\123456-7890_197102073140_310_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |311|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Arian|Grande|lonespecifikationer\123456-7890__311_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Ulla|Uppehållsanställning|lonespecifikationer\123456-7890_196903260609_312_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|2020-06|1|Månadsutbetalning|2020-06-25T00:00|Samuel|Som Slutat|lonespecifikationer\123456-7890_198006093119_313_202006_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Mimmi|Musiker|lonespecifikationer\123456-7890_197007123180_1_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Valter|Vaktis|lonespecifikationer\123456-7890_196408140678_20_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Vera|Vaktis|lonespecifikationer\123456-7890_196706260640_30_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Piia|Präst|lonespecifikationer\123456-7890_195408230687_40_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Petra|Pedagog|lonespecifikationer\123456-7890_196403030643_50_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Karin|Kanslist|lonespecifikationer\123456-7890_196105140666_60_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Fröken|Fredrik|lonespecifikationer\123456-7890_199105093133_70_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Fabian|Fastigheter|lonespecifikationer\123456-7890_195112060677_80_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Diana|Diakon|lonespecifikationer\123456-7890_199605260687_90_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Kicki|Kyrkoherde|lonespecifikationer\123456-7890_197810080684_100_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800326-0695|110|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Pelle|På Stan|lonespecifikationer\123456-7890_198003260695_110_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Tim|Timmis|lonespecifikationer\123456-7890_198910193153_120_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |130|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Felix|ferie|lonespecifikationer\123456-7890__130_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19770406-001|140|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Fred|Förtroende|lonespecifikationer\123456-7890_19770406001_140_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |150|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Uffe|Uppdragstagare|lonespecifikationer\123456-7890__150_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Pelle|Pensionär|lonespecifikationer\123456-7890_194111290674_300_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_301_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_302_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Doris|fr Deltid|lonespecifikationer\123456-7890_196308140604_303_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Frida|Föräldraledig|lonespecifikationer\123456-7890_199506083105_304_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Daniel|Dubbel Frånvaro|lonespecifikationer\123456-7890_200108150657_305_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Lena|Lönetillägg|lonespecifikationer\123456-7890_200405060641_306_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Nettan|Nettolöneavdrag|lonespecifikationer\123456-7890_200611250606_307_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Lennart|Löneväxling|lonespecifikationer\123456-7890_196912080618_308_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Sune|Semesterväxling|lonespecifikationer\123456-7890_197208173174_309_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Sabine|Sinkare|lonespecifikationer\123456-7890_197102073140_310_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |311|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Arian|Grande|lonespecifikationer\123456-7890__311_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Ulla|Uppehållsanställning|lonespecifikationer\123456-7890_196903260609_312_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|2020-07|1|Månadsutbetalning|2020-07-27T00:00|Samuel|Som Slutat|lonespecifikationer\123456-7890_198006093119_313_202007_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Mimmi|Musiker|lonespecifikationer\123456-7890_197007123180_1_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Valter|Vaktis|lonespecifikationer\123456-7890_196408140678_20_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Vera|Vaktis|lonespecifikationer\123456-7890_196706260640_30_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Piia|Präst|lonespecifikationer\123456-7890_195408230687_40_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Petra|Pedagog|lonespecifikationer\123456-7890_196403030643_50_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Karin|Kanslist|lonespecifikationer\123456-7890_196105140666_60_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Fröken|Fredrik|lonespecifikationer\123456-7890_199105093133_70_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Fabian|Fastigheter|lonespecifikationer\123456-7890_195112060677_80_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Diana|Diakon|lonespecifikationer\123456-7890_199605260687_90_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Kicki|Kyrkoherde|lonespecifikationer\123456-7890_197810080684_100_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800326-0695|110|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Pelle|På Stan|lonespecifikationer\123456-7890_198003260695_110_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Tim|Timmis|lonespecifikationer\123456-7890_198910193153_120_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |130|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Felix|ferie|lonespecifikationer\123456-7890__130_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19770406-001|140|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Fred|Förtroende|lonespecifikationer\123456-7890_19770406001_140_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |150|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Uffe|Uppdragstagare|lonespecifikationer\123456-7890__150_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Pelle|Pensionär|lonespecifikationer\123456-7890_194111290674_300_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_301_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_302_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Doris|fr Deltid|lonespecifikationer\123456-7890_196308140604_303_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Frida|Föräldraledig|lonespecifikationer\123456-7890_199506083105_304_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Daniel|Dubbel Frånvaro|lonespecifikationer\123456-7890_200108150657_305_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Lena|Lönetillägg|lonespecifikationer\123456-7890_200405060641_306_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Nettan|Nettolöneavdrag|lonespecifikationer\123456-7890_200611250606_307_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Lennart|Löneväxling|lonespecifikationer\123456-7890_196912080618_308_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Sune|Semesterväxling|lonespecifikationer\123456-7890_197208173174_309_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Sabine|Sinkare|lonespecifikationer\123456-7890_197102073140_310_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |311|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Arian|Grande|lonespecifikationer\123456-7890__311_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Ulla|Uppehållsanställning|lonespecifikationer\123456-7890_196903260609_312_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|2020-08|1|Månadsutbetalning|2020-08-27T00:00|Samuel|Som Slutat|lonespecifikationer\123456-7890_198006093119_313_202008_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Mimmi|Musiker|lonespecifikationer\123456-7890_197007123180_1_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Valter|Vaktis|lonespecifikationer\123456-7890_196408140678_20_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Vera|Vaktis|lonespecifikationer\123456-7890_196706260640_30_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Piia|Präst|lonespecifikationer\123456-7890_195408230687_40_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Petra|Pedagog|lonespecifikationer\123456-7890_196403030643_50_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Karin|Kanslist|lonespecifikationer\123456-7890_196105140666_60_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Fröken|Fredrik|lonespecifikationer\123456-7890_199105093133_70_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Fabian|Fastigheter|lonespecifikationer\123456-7890_195112060677_80_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Diana|Diakon|lonespecifikationer\123456-7890_199605260687_90_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Kicki|Kyrkoherde|lonespecifikationer\123456-7890_197810080684_100_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800326-0695|110|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Pelle|På Stan|lonespecifikationer\123456-7890_198003260695_110_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Tim|Timmis|lonespecifikationer\123456-7890_198910193153_120_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19770406-001|140|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Fred|Förtroende|lonespecifikationer\123456-7890_19770406001_140_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |150|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Uffe|Uppdragstagare|lonespecifikationer\123456-7890__150_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Pelle|Pensionär|lonespecifikationer\123456-7890_194111290674_300_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_301_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_302_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Doris|fr Deltid|lonespecifikationer\123456-7890_196308140604_303_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Frida|Föräldraledig|lonespecifikationer\123456-7890_199506083105_304_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Daniel|Dubbel Frånvaro|lonespecifikationer\123456-7890_200108150657_305_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Lena|Lönetillägg|lonespecifikationer\123456-7890_200405060641_306_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Nettan|Nettolöneavdrag|lonespecifikationer\123456-7890_200611250606_307_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19691208-0618|308|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Lennart|Löneväxling|lonespecifikationer\123456-7890_196912080618_308_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19720817-3174|309|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Sune|Semesterväxling|lonespecifikationer\123456-7890_197208173174_309_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19710207-3140|310|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Sabine|Sinkare|lonespecifikationer\123456-7890_197102073140_310_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |311|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Arian|Grande|lonespecifikationer\123456-7890__311_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19690326-0609|312|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Ulla|Uppehållsanställning|lonespecifikationer\123456-7890_196903260609_312_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800609-3119|313|2020-09|1|Månadsutbetalning|2020-09-25T00:00|Samuel|Som Slutat|lonespecifikationer\123456-7890_198006093119_313_202009_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19700712-3180|1|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Mimmi|Musiker|lonespecifikationer\123456-7890_197007123180_1_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640814-0678|20|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Valter|Vaktis|lonespecifikationer\123456-7890_196408140678_20_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19670626-0640|30|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Vera|Vaktis|lonespecifikationer\123456-7890_196706260640_30_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19540823-0687|40|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Piia|Präst|lonespecifikationer\123456-7890_195408230687_40_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19640303-0643|50|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Petra|Pedagog|lonespecifikationer\123456-7890_196403030643_50_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19610514-0666|60|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Karin|Kanslist|lonespecifikationer\123456-7890_196105140666_60_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19910509-3133|70|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Fröken|Fredrik|lonespecifikationer\123456-7890_199105093133_70_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19511206-0677|80|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Fabian|Fastigheter|lonespecifikationer\123456-7890_195112060677_80_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19960526-0687|90|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Diana|Diakon|lonespecifikationer\123456-7890_199605260687_90_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19781008-0684|100|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Kicki|Kyrkoherde|lonespecifikationer\123456-7890_197810080684_100_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19800326-0695|110|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Pelle|På Stan|lonespecifikationer\123456-7890_198003260695_110_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19891019-3153|120|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Tim|Timmis|lonespecifikationer\123456-7890_198910193153_120_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19770406-001|140|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Fred|Förtroende|lonespecifikationer\123456-7890_19770406001_140_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|            |150|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Uffe|Uppdragstagare|lonespecifikationer\123456-7890__150_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19411129-0674|300|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Pelle|Pensionär|lonespecifikationer\123456-7890_194111290674_300_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|301|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_301_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19970823-0637|302|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Dennis|Dublett|lonespecifikationer\123456-7890_199708230637_302_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19630814-0604|303|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Doris|fr Deltid|lonespecifikationer\123456-7890_196308140604_303_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|19950608-3105|304|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Frida|Föräldraledig|lonespecifikationer\123456-7890_199506083105_304_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20010815-0657|305|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Daniel|Dubbel Frånvaro|lonespecifikationer\123456-7890_200108150657_305_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20040506-0641|306|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Lena|Lönetillägg|lonespecifikationer\123456-7890_200405060641_306_202010_lonespec.html
Flex Lön|1973|2022|123456-7890|923|20061125-0606|307|2020-10|1|Månadsutbetalning|2020-10-27T00:00|Nettan|Nettolöneavdrag|lonespecifikationer\123456-7890_200611250606_307_202010_lonespec.html
